02-Aug-2022/10:24:02	: Waiting For Audio
02-Aug-2022/10:24:03	: Waiting ScreenRecord
02-Aug-2022/10:24:03	: Waiting For Audio
02-Aug-2022/10:24:03	: Waiting ScreenRecord
02-Aug-2022/10:24:03	: Waiting For Audio
02-Aug-2022/10:24:04	: Waiting For Audio
02-Aug-2022/10:24:04	: Waiting ScreenRecord
02-Aug-2022/10:24:04	: Waiting For Audio
02-Aug-2022/10:24:04	: Waiting ScreenRecord
02-Aug-2022/10:24:05	: Waiting ScreenRecord
02-Aug-2022/10:24:05	: Waiting For Audio
02-Aug-2022/10:24:05	: Waiting For Audio
02-Aug-2022/10:24:05	: Waiting ScreenRecord
02-Aug-2022/10:24:06	: Waiting For Audio
02-Aug-2022/10:24:06	: Waiting ScreenRecord
02-Aug-2022/10:24:06	: Waiting ScreenRecord
02-Aug-2022/10:24:06	: Waiting For Audio
02-Aug-2022/10:24:07	: Waiting For Audio
02-Aug-2022/10:24:07	: Waiting ScreenRecord
02-Aug-2022/10:28:06	: Mic Closed
02-Aug-2022/10:28:06	: stop recording call
02-Aug-2022/10:28:06	: start time02-08-2022-10:22:09end time video---02-08-2022-10:28:06file_namerakesh_8_9155104987_22_08_02_10_24_07start_time=rakesh
02-Aug-2022/10:28:06	: encoding finish 239s
02-Aug-2022/10:28:07	: Mic Closed
02-Aug-2022/10:28:07	: Waiting For Audio
02-Aug-2022/10:28:07	: Waiting ScreenRecord
02-Aug-2022/10:28:08	: Waiting For Audio
02-Aug-2022/10:28:08	: Waiting For Audio
02-Aug-2022/10:28:08	: Waiting ScreenRecord
02-Aug-2022/10:28:09	: Waiting For Audio
02-Aug-2022/10:28:09	: Waiting For Audio
02-Aug-2022/10:28:09	: Waiting ScreenRecord
02-Aug-2022/10:28:10	: Waiting For Audio
02-Aug-2022/10:28:10	: Waiting For Audio
02-Aug-2022/10:34:13	: Soundrecording!!!!.... Thread start 
02-Aug-2022/10:34:13	: Recording Initialized .... Mic open
02-Aug-2022/10:34:14	: Waiting For Audio
02-Aug-2022/10:34:15	: Waiting For Audio
02-Aug-2022/10:34:16	: Waiting For Audio
02-Aug-2022/10:34:17	: Waiting For Audio
02-Aug-2022/10:34:18	: Waiting For Audio
02-Aug-2022/10:34:19	: Waiting For Audio
02-Aug-2022/10:34:20	: Waiting For Audio
02-Aug-2022/10:34:21	: Waiting For Audio
02-Aug-2022/10:34:22	: Waiting For Audio
02-Aug-2022/10:34:23	: Waiting For Audio
02-Aug-2022/10:34:24	: Waiting For Audio
02-Aug-2022/10:34:25	: Waiting For Audio
02-Aug-2022/10:34:26	: Capturing Sound
02-Aug-2022/10:34:55	: Mic Closed
02-Aug-2022/10:34:55	: Done Audio File
02-Aug-2022/10:34:56	: Waiting For Audio
02-Aug-2022/10:34:57	: Waiting For Audio
02-Aug-2022/10:34:58	: Waiting For Audio
02-Aug-2022/10:34:59	: Waiting For Audio
02-Aug-2022/10:35:00	: Waiting For Audio
02-Aug-2022/10:35:01	: Waiting For Audio
02-Aug-2022/10:35:02	: Waiting For Audio
02-Aug-2022/10:35:04	: Waiting For Audio
02-Aug-2022/10:35:05	: Waiting For Audio
02-Aug-2022/10:35:06	: Waiting For Audio
02-Aug-2022/10:35:07	: Waiting For Audio
02-Aug-2022/10:35:08	: Waiting For Audio
02-Aug-2022/10:35:09	: Waiting For Audio
02-Aug-2022/10:35:10	: Waiting For Audio
02-Aug-2022/10:35:11	: Waiting For Audio
02-Aug-2022/10:35:12	: Waiting For Audio
02-Aug-2022/10:35:13	: Waiting For Audio
02-Aug-2022/10:35:14	: Waiting For Audio
02-Aug-2022/10:35:15	: Waiting For Audio
02-Aug-2022/10:35:16	: Waiting For Audio
02-Aug-2022/10:35:17	: Waiting For Audio
02-Aug-2022/10:35:18	: Waiting For Audio
02-Aug-2022/10:35:19	: Waiting For Audio
02-Aug-2022/10:35:20	: Waiting For Audio
02-Aug-2022/10:35:21	: Waiting For Audio
02-Aug-2022/10:35:25	: Soundrecording!!!!.... Thread start 
02-Aug-2022/10:35:25	: Recording Initialized .... Mic open
02-Aug-2022/10:35:26	: Waiting ScreenRecord
02-Aug-2022/10:35:26	: Waiting For Audio
02-Aug-2022/10:35:27	: Waiting ScreenRecord
02-Aug-2022/10:35:27	: Waiting For Audio
02-Aug-2022/10:35:28	: Waiting ScreenRecord
02-Aug-2022/10:35:28	: Waiting For Audio
02-Aug-2022/10:35:29	: Waiting ScreenRecord
02-Aug-2022/10:35:29	: Waiting For Audio
02-Aug-2022/10:35:30	: Waiting ScreenRecord
02-Aug-2022/10:35:30	: Waiting For Audio
02-Aug-2022/10:35:31	: Waiting ScreenRecord
02-Aug-2022/10:35:31	: Waiting For Audio
02-Aug-2022/10:35:32	: Waiting ScreenRecord
02-Aug-2022/10:35:32	: Waiting For Audio
02-Aug-2022/10:35:33	: Waiting ScreenRecord
02-Aug-2022/10:35:33	: Waiting For Audio
02-Aug-2022/10:35:34	: Waiting ScreenRecord
02-Aug-2022/10:35:34	: Waiting For Audio
02-Aug-2022/10:35:35	: Waiting ScreenRecord
02-Aug-2022/10:35:35	: Waiting For Audio
02-Aug-2022/10:35:36	: Waiting ScreenRecord
02-Aug-2022/10:35:36	: Waiting For Audio
02-Aug-2022/10:35:37	: Waiting ScreenRecord
02-Aug-2022/10:35:37	: Waiting For Audio
02-Aug-2022/10:35:38	: Waiting ScreenRecord
02-Aug-2022/10:35:39	: Waiting For Audio
02-Aug-2022/10:35:39	: Waiting ScreenRecord
02-Aug-2022/10:35:40	: Waiting For Audio
02-Aug-2022/10:35:40	: Waiting ScreenRecord
02-Aug-2022/10:35:41	: Waiting For Audio
02-Aug-2022/10:35:41	: Waiting ScreenRecord
02-Aug-2022/10:35:42	: Waiting For Audio
02-Aug-2022/10:35:42	: Waiting ScreenRecord
02-Aug-2022/10:35:43	: Waiting For Audio
02-Aug-2022/10:35:43	: Waiting ScreenRecord
02-Aug-2022/10:35:44	: Waiting For Audio
02-Aug-2022/10:35:44	: Waiting ScreenRecord
02-Aug-2022/10:35:45	: Waiting For Audio
02-Aug-2022/10:35:45	: Waiting ScreenRecord
02-Aug-2022/10:35:46	: Waiting For Audio
02-Aug-2022/10:35:46	: Waiting ScreenRecord
02-Aug-2022/10:35:47	: Waiting For Audio
02-Aug-2022/10:35:47	: Waiting ScreenRecord
02-Aug-2022/10:35:48	: Waiting For Audio
02-Aug-2022/10:35:48	: Waiting ScreenRecord
02-Aug-2022/10:35:49	: Waiting For Audio
02-Aug-2022/10:35:50	: Waiting ScreenRecord
02-Aug-2022/10:35:50	: Waiting For Audio
02-Aug-2022/10:35:51	: Waiting ScreenRecord
02-Aug-2022/10:35:51	: Waiting For Audio
02-Aug-2022/10:35:52	: Waiting ScreenRecord
02-Aug-2022/10:35:52	: Waiting For Audio
02-Aug-2022/10:35:53	: Waiting ScreenRecord
02-Aug-2022/10:35:53	: Waiting For Audio
02-Aug-2022/10:35:54	: Waiting ScreenRecord
02-Aug-2022/10:35:54	: Waiting For Audio
02-Aug-2022/10:35:55	: Waiting ScreenRecord
02-Aug-2022/10:35:55	: Capturing Sound
02-Aug-2022/10:36:12	: stop recording call
02-Aug-2022/10:36:12	: start time02-08-2022-10:35:25end time video---02-08-2022-10:36:12file_name9876_1225_9155104987_22_08_02_10_35_55start_time=9876
02-Aug-2022/10:36:12	: encoding finish 17s
02-Aug-2022/10:36:12	: Mic Closed
02-Aug-2022/10:36:12	: Done Audio File
02-Aug-2022/10:36:13	: Waiting ScreenRecord
02-Aug-2022/10:36:13	: Waiting For Audio
02-Aug-2022/10:36:14	: Waiting ScreenRecord
02-Aug-2022/10:36:14	: Waiting For Audio
02-Aug-2022/10:36:15	: Waiting ScreenRecord
02-Aug-2022/10:36:15	: Waiting For Audio
02-Aug-2022/10:36:16	: Waiting ScreenRecord
02-Aug-2022/10:36:16	: Waiting For Audio
02-Aug-2022/10:36:17	: Waiting ScreenRecord
02-Aug-2022/10:36:17	: Waiting For Audio
02-Aug-2022/10:36:18	: Waiting ScreenRecord
02-Aug-2022/10:36:18	: Waiting For Audio
02-Aug-2022/10:36:19	: Waiting ScreenRecord
02-Aug-2022/10:36:19	: Waiting For Audio
